Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Turkiye,TUR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.63
Turkmenistan,TKM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.048
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,93.36
Tuvalu,TUV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.215
Uganda,UGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.361
Ukraine,UKR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.473
United Arab Emirates,ARE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.789
United Kingdom,GBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,83.652
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.459
Uruguay,URY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,95.426
Uzbekistan,UZB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.433
Vanuatu,VUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.394
"Venezuela, RB",VEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.24
Viet Nam,VNM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.628
Virgin Islands (U.S.),VIR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,95.832
West Bank and Gaza,PSE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.44
"Yemen, Rep.",YEM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.273
Zambia,ZMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.072
Zimbabwe,ZWE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.21
Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.3362593667609
Africa Western and Central,AFW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.2554132163805
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.8838169749636
Caribbean small states,CSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.4126471802246
Central Europe and the Baltics,CEB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.4381392131022
Early-demographic dividend,EAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.4664075798349
East Asia & Pacific,EAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.8909178104417
East Asia & Pacific (excluding high income),EAP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.5876135587308
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.5192103941673
Euro area,EMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.2316707115529
Europe & Central Asia,ECS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.4040399778809
Europe & Central Asia (excluding high income),ECA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.7895220162399
